dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,SMOTE_testing_loss,layer_normalisation_testing_loss,batch_normalisation_testing_loss,weight_decay_testing_loss,baseline_testing_loss,dropout_testing_loss,prune_testing_loss,weight_normalisation_testing_loss,weight_perturbation_testing_loss
Car evaluation,6.0,1.0,144.0,2.0,24.0,0.3333333333333333,72.0,0.3211009174311927,0.0,0.0504199507300027,0.0,0.1572758282063624,1.0517126711537137,0.8331912826118612,-1,1,1,2,2,1,1,1,2
Car evaluation,6.0,1.0,375.0,4.0,62.5,0.6666666666666666,93.75,0.053231939163498,0.0,0.0890413972908733,0.0064561880608289,0.1896133018263857,1.0931259078408468,0.5612684172863095,3,1,2,2,2,2,1,1,1
Car evaluation,6.0,1.0,841.0,4.0,140.16666666666666,0.6666666666666666,210.25,0.0543293718166383,0.0,0.0802018820917678,0.0062466355344938,0.1990223582537105,1.0835057860110806,0.7355947998908962,5,1,4,2,2,1,3,1,3
Car evaluation,6.0,1.0,989.0,4.0,164.83333333333334,0.6666666666666666,247.25,0.0533910533910533,0.0,0.0738153370890438,0.0116523106680752,0.1609458834233266,1.076607977575616,0.8830546125544448,6,2,4,3,4,2,1,5,5
Car evaluation,6.0,1.0,1253.0,4.0,208.8333333333333,0.6666666666666666,313.25,0.0535917901938426,0.0,0.076962888934208,2.828900399776124e-05,0.1744294699064581,1.08000199562377,0.8101354223008213,5,1,4,2,2,2,3,2,2
Car evaluation,6.0,1.0,1513.0,4.0,252.16666666666663,0.6666666666666666,378.25,0.0537735849056603,0.0,0.0808574186351623,0.0025280813941017,0.18144729138478,1.0842162965061437,0.7210740268781021,5,1,4,2,2,2,3,3,3
Churn,16.0,0.8125,5000.0,2.0,312.5,0.125,2500.0,0.1646866992778942,0.6875,0.0075489766683917,0.0,0.0557945391253129,1.0075775420272632,2.373774949748162,-1,1,1,2,1,1,1,1,1
Churn,19.0,0.8421052631578947,5000.0,2.0,263.1578947368421,0.1052631578947368,2500.0,0.1646866992778942,0.7368421052631579,0.0112394596638123,0.0,0.0583878526431156,1.011302859695305,0.9082054900635372,-1,1,1,2,1,1,1,1,1
Churn,15.0,0.8,5000.0,2.0,333.3333333333333,0.1333333333333333,2500.0,0.1646866992778942,0.7333333333333333,0.0093447616557449,0.0,0.0582720516659795,1.009388560263823,1.907131568057598,-1,1,1,2,1,1,1,1,1
Churn,13.0,0.8461538461538461,5000.0,2.0,384.61538461538464,0.1538461538461538,2500.0,0.1646866992778942,0.7692307692307693,0.0140117830586158,0.0,0.0579106403905003,1.0141104081904757,1.2371104068195378,-1,1,1,2,1,1,1,1,1
Churn,17.0,0.8823529411764706,5000.0,2.0,294.11764705882354,0.1176470588235294,2500.0,0.1646866992778942,0.7647058823529411,0.0114793963397602,0.0,0.0596980642519804,1.0115455374543203,1.0881236056220245,-1,1,1,2,1,1,1,1,1
Churn,18.0,0.8333333333333334,5000.0,2.0,277.77777777777777,0.1111111111111111,2500.0,0.1646866992778942,0.7222222222222222,0.0115826431892876,0.0,0.0596980642519804,1.0116499817358948,0.954537431671582,-1,1,1,2,1,1,1,1,1
Churn,10.0,0.9,5000.0,2.0,500.0,0.2,2500.0,0.1646866992778942,0.8,0.0030504234272015,0.0,0.0252128567873437,1.003055080703095,12.358695401008172,-1,1,1,2,1,1,1,1,1
Churn,20.0,0.85,610.0,2.0,30.5,0.1,305.0,0.1641221374045801,0.75,0.0161541384606342,0.0,0.0894764937028289,1.0162853219890204,0.258949857453524,-1,2,2,3,2,2,1,2,2
Churn,20.0,0.85,1300.0,2.0,65.0,0.1,650.0,0.1648745519713261,0.75,0.0110542563879387,0.0,0.0559662372207419,1.0111155804356908,0.8442961034809328,-1,1,1,2,1,1,1,1,1
Churn,20.0,0.85,1687.0,2.0,84.35,0.1,843.5,0.1650552486187845,0.75,0.0131025256217141,0.0,0.0752745701941051,1.0131887398403887,0.5568997210894073,-1,1,1,2,1,1,1,1,1
Churn,20.0,0.85,2428.0,2.0,121.4,0.1,1214.0,0.1645083932853717,0.75,0.0109529564663073,0.0,0.0467943688138565,1.0110131596943266,0.8591308069805417,-1,1,1,2,1,1,1,1,1
Churn,20.0,0.85,2717.0,2.0,135.85,0.1,1358.5,0.1645949421345906,0.75,0.0121725905630278,0.0,0.0633130633366112,1.012246978066658,0.6733280211218428,-1,1,1,2,1,1,1,1,1
