dataset_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Salaries 2023,-1.0237101893599314,-0.9298512857504913,0.9801960588196069,1.528892320215244,0.32228548884246033,-1.0724950835633111,1.292725238847938,1.4490227864903826,0,1,0,0,0,1,0,0
Salaries 2023,-1.0237101893599314,-0.9298512857504913,0.9801960588196069,1.528892320215244,0.32228548884246033,-1.0724950835633111,1.292725238847938,1.4490227864903826,0,1,0,0,0,0,0,0
Salaries 2023,-1.0237101893599314,-0.9298512857504913,0.9801960588196069,1.528892320215244,0.32228548884246033,-1.0724950835633111,1.292725238847938,1.4490227864903826,0,1,0,0,0,0,1,0
Salaries 2023,-1.0237101893599314,-0.9298512857504913,0.9801960588196069,1.528892320215244,0.32228548884246033,-1.0724950835633111,1.292725238847938,1.4490227864903826,0,1,0,0,0,0,0,0
Salaries 2023,-1.0237101893599314,-0.9298512857504913,0.9801960588196069,1.528892320215244,0.32228548884246033,-1.0724950835633111,1.292725238847938,1.4490227864903826,0,1,0,0,0,0,0,0
Salaries 2023,-1.0237101893599314,-0.9298512857504913,0.9801960588196069,1.528892320215244,0.32228548884246033,-1.0724950835633111,1.292725238847938,1.4490227864903826,0,0,1,0,1,0,0,0
Salaries 2023,-1.0237101893599314,-0.9298512857504913,0.9801960588196069,1.528892320215244,0.32228548884246033,-1.0724950835633111,1.292725238847938,1.4490227864903826,0,1,0,0,1,0,0,0
Salaries 2023,-1.0237101893599314,-0.9298512857504913,0.9801960588196069,1.528892320215244,0.32228548884246033,-1.0724950835633111,1.292725238847938,1.4490227864903826,0,1,0,0,1,1,0,1
Salaries 2023,-1.0237101893599314,-0.9298512857504913,0.9801960588196069,1.528892320215244,0.32228548884246033,-1.0724950835633111,1.292725238847938,1.4490227864903826,0,1,0,0,0,0,0,0
Salaries 2023,-1.0237101893599314,-0.9298512857504913,0.9801960588196069,1.528892320215244,0.32228548884246033,-1.0724950835633111,1.292725238847938,1.4490227864903826,0,1,0,0,0,0,0,0
Salaries 2023,-1.0237101893599314,-0.9298512857504913,0.9801960588196069,1.528892320215244,0.32228548884246033,-1.0724950835633111,1.292725238847938,1.4490227864903826,0,1,0,0,0,0,0,0
Schizo,0.3632520026761046,1.7998500357627865,0.420084025208403,-0.8237288594908642,-0.33031752530442743,0.9221490547187957,-0.8499132785795837,-0.5472994598186431,0,1,1,1,0,0,0,1
Schizo,0.3632520026761046,1.7998500357627865,0.420084025208403,-0.8237288594908642,-0.33031752530442743,0.9221490547187957,-0.8499132785795837,-0.5472994598186431,0,1,0,1,0,1,1,1
Schizo,0.3632520026761046,1.7998500357627865,0.420084025208403,-0.8237288594908642,-0.33031752530442743,0.9221490547187957,-0.8499132785795837,-0.5472994598186431,0,0,0,0,1,0,1,0
Schizo,0.3632520026761046,1.7998500357627865,0.420084025208403,-0.8237288594908642,-0.33031752530442743,0.9221490547187957,-0.8499132785795837,-0.5472994598186431,0,1,0,1,0,0,0,0
Schizo,0.3632520026761046,1.7998500357627865,0.420084025208403,-0.8237288594908642,-0.33031752530442743,0.9221490547187957,-0.8499132785795837,-0.5472994598186431,1,0,1,1,0,0,0,0
