target,employment_type,job_title,salary,salary_in_usd,company_size
4,2,47,-0.10702724612063536,531,1
3,2,89,0.1604625889812204,1017,1
3,2,89,-0.07472051453267407,663,1
3,2,33,0.04906006626411249,960,1
3,2,47,-0.18612303724978196,237,1
4,2,25,-0.030283286026627693,802,1
4,2,25,-0.10975041889816466,518,1
4,1,90,-0.19850109532946061,159,1
1,2,25,-0.13661080493106734,402,0
2,2,33,0.12332841474218442,1008,1
2,2,33,0.035444202376465964,939,1
4,2,25,-0.10566565973187071,538,1
4,2,25,-0.12423274685138869,460,1
1,2,25,-0.07472051453267407,663,1
1,2,25,-0.13661080493106734,402,1
4,2,47,-0.07586424709923638,659,1
4,2,47,-0.15843951035458065,324,1
3,2,25,-0.16136692109042466,389,1
3,2,25,-0.2108791534091393,155,1
4,2,25,-0.14279983397090668,379,1
4,2,25,-0.1545589891466014,340,1
3,2,47,-0.13939586799899503,391,1
4,2,47,-0.011592418326312925,854,1
4,2,47,-0.1093790771557743,520,1
3,2,47,-0.11558048425369331,499,1
3,2,47,-0.15775252813115848,329,1
3,2,74,-0.012830224134280789,851,2
3,2,74,-0.10566565973187071,538,2
4,2,69,-0.0072600979984253945,866,1
4,2,69,-0.08437539983482342,628,1
4,2,37,-0.06853148549283473,687,1
4,2,37,-0.08709857261235272,613,1
3,2,70,-0.005502413751111025,871,1
3,2,70,-0.04798390908056817,744,1
4,2,33,-0.10999798005975824,515,1
4,2,33,-0.1638425327063604,309,1
3,2,33,-0.0697692913008026,683,1
3,2,33,-0.1168059120035815,491,1
4,2,47,-0.09204979584422418,591,1
3,2,25,-0.17993400820994263,310,1
3,2,25,-0.21576848635061235,135,1
4,2,25,-0.0375863402936381,779,1
4,2,33,-0.04996439837331675,738,1
4,2,33,-0.0697692913008026,683,1
