target,employment_type,job_title,salary,salary_currency,salary_in_usd,remote_ratio,company_size
2,2,33,-0.12423274685138869,19,460,-1.04837274073339,1
4,2,89,-0.09947663069203137,19,563,1.0282812738738005,1
4,2,89,-0.12423274685138869,19,460,1.0282812738738005,1
4,2,8,-0.0066411950944414615,19,868,1.0282812738738005,1
4,2,8,-0.03263511706176664,19,793,1.0282812738738005,1
4,2,25,-0.075339417436658,19,660,1.0282812738738005,1
4,2,25,-0.10309721268033739,19,549,1.0282812738738005,1
4,2,33,0.011350312324371463,19,907,1.0282812738738005,1
4,2,33,-0.07952939009662922,19,645,1.0282812738738005,1
4,2,47,-0.09328760165219205,19,589,-1.04837274073339,1
4,2,47,-0.014068029942248655,19,849,-1.04837274073339,1
4,2,47,-0.05986684483705968,19,714,-1.04837274073339,1
2,2,4,0.013163697833044387,19,910,1.0282812738738005,1
2,2,4,-0.07100709710877047,19,676,1.0282812738738005,1
4,2,25,-0.028921699637863042,19,805,-1.04837274073339,1
4,2,25,-0.10195224230796711,19,554,-1.04837274073339,1
4,2,89,-0.00045216605460213406,19,883,-1.04837274073339,1
4,2,89,-0.09204979584422418,19,591,-1.04837274073339,1
4,2,47,-0.13661080493106734,19,402,1.0282812738738005,1
4,2,33,-0.038824146101605964,19,771,-1.04837274073339,1
4,2,33,-0.12547055265935655,19,454,-1.04837274073339,1
4,2,47,0.04287103722427316,19,949,-1.04837274073339,1
4,2,47,-0.0375863402936381,19,779,-1.04837274073339,1
4,2,25,-0.08462296099641699,19,626,1.0282812738738005,1
4,2,37,-0.014315591103842229,19,848,-1.04837274073339,1
4,2,37,-0.13017421472963445,19,434,-1.04837274073339,1
4,2,25,-0.10566565973187071,19,538,1.0282812738738005,1
4,2,25,-0.12175713523545295,19,470,1.0282812738738005,1
4,2,47,-0.00045216605460213406,19,883,-1.04837274073339,1
4,2,47,-0.06853148549283473,19,687,-1.04837274073339,1
4,2,37,-0.11804371781154936,19,481,1.0282812738738005,1
4,2,37,-0.15394008624261746,19,343,1.0282812738738005,1
4,2,47,-0.056153427413156085,19,721,-1.04837274073339,1
4,2,47,-0.08709857261235272,19,613,-1.04837274073339,1
4,2,25,-0.08833637842032059,19,609,-1.04837274073339,1
4,2,25,-0.12918397008326016,19,440,-1.04837274073339,1
1,2,25,-0.1923120662896213,2,125,-1.04837274073339,0
4,2,1,0.08000521146330912,19,984,-1.04837274073339,2
4,1,73,-0.19850109532946061,19,159,-0.010045733429794819,2
3,2,69,0.08706070456872596,19,989,1.0282812738738005,1
3,2,69,-0.07416350191908853,19,666,1.0282812738738005,1
1,2,47,-0.17374497917010331,2,170,1.0282812738738005,0
4,2,31,0.04967896916809642,19,961,-1.04837274073339,1
4,2,31,-0.06296135935697934,19,702,-1.04837274073339,1
1,2,47,-0.09947539288622341,19,564,1.0282812738738005,1
1,2,47,-0.1713844834943086,19,276,1.0282812738738005,1
3,2,47,-0.1441391398551279,19,370,1.0282812738738005,1
3,2,47,-0.19607252033422767,19,171,1.0282812738738005,1
4,2,25,-0.04377536933347743,19,757,1.0282812738738005,1
4,2,25,-0.09328760165219205,19,589,1.0282812738738005,1
4,2,69,0.05772470691988755,19,967,-1.04837274073339,1
4,2,69,-0.07843393195657766,19,648,-1.04837274073339,1
4,2,33,0.014401503641012253,19,913,1.0282812738738005,1
4,2,47,-0.009116806710377193,19,861,1.0282812738738005,1
4,2,47,-0.0955156521065342,19,579,1.0282812738738005,1
4,2,33,0.013163697833044387,19,910,-1.04837274073339,1
4,2,33,-0.07843393195657766,19,648,-1.04837274073339,1
4,2,47,-0.030283286026627693,19,802,-1.04837274073339,1
4,2,47,-0.10034309475760889,19,561,-1.04837274073339,1
4,2,47,0.0342063965684981,19,938,1.0282812738738005,1
4,2,47,-0.06729367968486688,19,690,1.0282812738738005,1
4,2,69,0.11590157989437723,19,1006,1.0282812738738005,1
4,2,69,-0.014068029942248655,19,849,1.0282812738738005,1
3,2,16,-0.20469012436929995,7,154,1.0282812738738005,1
4,2,33,-0.07472051453267407,19,663,-1.04837274073339,1
4,2,33,-0.09947663069203137,19,563,-1.04837274073339,1
4,2,47,-0.08709857261235272,19,613,1.0282812738738005,1
4,2,47,-0.12423274685138869,19,460,1.0282812738738005,1
3,2,25,-0.148988863010746,19,355,-1.04837274073339,1
3,2,25,-0.16755595013026398,19,292,-1.04837274073339,1
3,2,89,-0.06085708948343397,8,840,-1.04837274073339,1
3,2,89,-0.15571014854801152,8,416,-1.04837274073339,1
4,2,33,0.03668200818443383,19,941,-1.04837274073339,1
4,2,33,-0.03313023938495378,19,792,-1.04837274073339,1
3,2,49,-0.09947663069203137,19,563,-1.04837274073339,1
3,2,49,-0.16136692109042466,19,315,-1.04837274073339,1
4,2,33,0.04906006626411249,19,960,-1.04837274073339,1
4,2,29,-0.06234245645299541,19,705,1.0282812738738005,1
4,2,29,-0.11185468877171004,19,509,1.0282812738738005,1
4,2,69,0.0974285660162648,19,996,-1.04837274073339,1
