work_year,target,salary,salary_currency,salary_in_usd,employee_residence,company_location,company_size
0.933090760892103,4,-0.10727480728222893,19,530,75,70,0
0.933090760892103,4,-0.07113087768956726,19,675,75,70,1
0.933090760892103,4,-0.11544432561481685,19,501,75,70,1
0.933090760892103,4,-0.046250980949413156,19,753,75,70,1
0.933090760892103,4,-0.1205193294274851,19,474,75,70,1
0.933090760892103,4,0.061438124343791145,19,971,75,70,0
0.933090760892103,2,-0.04377536933347743,19,757,75,70,1
0.933090760892103,2,-0.12423274685138869,19,460,75,70,1
0.933090760892103,4,-0.09947663069203137,19,563,75,70,1
0.933090760892103,4,-0.12423274685138869,19,460,75,70,1
0.933090760892103,4,-0.0066411950944414615,19,868,75,70,1
0.933090760892103,4,-0.03263511706176664,19,793,75,70,1
0.933090760892103,4,-0.075339417436658,19,660,75,70,1
0.933090760892103,4,-0.10309721268033739,19,549,75,70,1
0.933090760892103,4,0.011350312324371463,19,907,75,70,1
0.933090760892103,4,-0.07952939009662922,19,645,75,70,1
0.933090760892103,4,-0.09328760165219205,19,589,75,70,1
0.933090760892103,4,-0.014068029942248655,19,849,75,70,1
0.933090760892103,4,-0.05986684483705968,19,714,75,70,1
0.933090760892103,2,0.013163697833044387,19,910,75,70,1
0.933090760892103,2,-0.07100709710877047,19,676,75,70,1
