number_of_attributes,percentage_of_numeric_features,number_of_instances,number_of_class,proportion_of_attributes_per_instances,number_of_classes_per_attributes,number_of_instances_per_class,proportion_of_min_to_max_instance_per_class,proportion_of_attributes_with_outliers,minimum_continuous_mutual_information,maximum_continuous_mutual_information,minimum_discrete_mutual_information,maximum_discrete_mutual_information,equivalent_number_of_continuous_attributes,equivalent_number_of_discrete_attributes,noise_signal_ratio_of_continuous_attributes,noise_signal_ratio_of_discrete_attributes,dropout_testing_loss,batch_normalisation_testing_loss,weight_normalisation_testing_loss,normal_testing_loss,prune_testing_loss,layer_normalisation_testing_loss,weight_decay_testing_loss,weight_perturbation_testing_loss,SMOTE_testing_loss
13.0,0.3846153846153846,1602.0,2.0,0.0081148564294631,0.1538461538461538,801.0,0.3228736581337737,0.0769230769230769,0.0,0.4753642639173705,3.710334567363915e-09,0.0022043142353255,1.1883666556995545,1.0006142309552957,-0.070872585243264,162.2100557750895,1,1,1,1,1,2,3,4,5
13.0,0.3846153846153846,912.0,3.0,0.0142543859649122,0.2307692307692307,304.0,0.2584541062801932,0.1538461538461538,0.0,0.6931934384122069,2.741734485614544e-05,0.0176359429148082,1.2015187593536365,1.0048770275278465,0.5292819815157107,35.06697757298263,3,4,2,2,1,5,5,6,7
13.0,0.3846153846153846,1181.0,4.0,0.0110076206604572,0.3076923076923077,295.25,0.2584541062801932,0.1538461538461538,0.0,0.9361950662144228,0.0002346431362096,0.0207806726330495,1.2636774040287506,1.00563198920329,0.5879798848511721,40.35685489719063,4,5,3,2,1,6,7,8,8
13.0,0.3846153846153846,1871.0,3.0,0.0069481560662747,0.2307692307692307,623.6666666666666,0.2221304706853839,0.0,0.0,0.7061012432159366,0.0001565816094487,0.0090705847245556,1.2670799010500846,1.0026684413279083,0.0819004392057951,59.06398850079376,3,4,2,3,1,5,6,6,7
13.0,0.3846153846153846,1074.0,3.0,0.0121042830540037,0.2307692307692307,358.0,0.6497584541062802,0.1538461538461538,0.0,0.8388365867350682,0.000217017768969,0.0095233264550933,1.2347410446318448,1.003097048880376,0.4806969626429769,62.10541185029221,1,2,1,1,1,3,4,5,6
7.0,0.4285714285714285,2392.0,5.0,0.0029264214046822,0.7142857142857143,478.4,0.088356729975227,0.0,0.0,0.982088401341202,0.0008994962858966,0.0157426525506417,1.387304700655548,1.0064605502020547,0.952274277740078,73.43223264536195,1,2,2,3,1,3,4,4,5
11.0,0.4545454545454545,2392.0,5.0,0.0045986622073578,0.4545454545454545,478.4,0.088356729975227,0.0,0.0,0.9826430398714976,0.0003130599249566,0.0074794818364639,1.3563630911252569,1.0027652910034404,0.2580461916396884,114.71751739317092,1,2,2,3,2,4,6,5,7
7.0,0.2857142857142857,2392.0,5.0,0.0029264214046822,0.7142857142857143,478.4,0.088356729975227,0.0,0.0,0.9833554989307752,0.0003130599249566,0.0157426525506417,1.6350571362632504,1.005972676420022,0.9497586849212044,63.39411179915091,1,2,2,2,1,3,4,4,4
12.0,0.3333333333333333,2392.0,5.0,0.0050167224080267,0.4166666666666667,478.4,0.088356729975227,0.0,0.0,0.9823803082694642,0.0003130599249566,0.0157426525506417,1.438949650265077,1.0042421761911662,0.3171442194213685,55.61509987289926,2,3,2,2,1,3,5,4,6
9.0,0.3333333333333333,2392.0,5.0,0.00376254180602,0.5555555555555556,478.4,0.088356729975227,0.0,0.0,0.98276543003451,0.0008994962858966,0.0157426525506417,1.6203703183570766,1.00505201880813,0.3241390901971366,62.411778622131926,1,2,1,2,3,2,4,4,5
13.0,0.3846153846153846,401.0,5.0,0.0324189526184538,0.3846153846153846,80.2,0.0886699507389162,0.0,0.0,0.987379128077623,0.0028546715364862,0.0260158346306619,1.3407149477234774,1.0120341676987612,0.3080353218770205,19.037892315790124,2,4,4,3,1,5,6,5,7
13.0,0.3846153846153846,970.0,5.0,0.0134020618556701,0.3846153846153846,194.0,0.0875763747454175,0.0,0.0,0.9933665510183332,0.0003085006079353,0.01635077731545,1.343962846464628,1.0056581963969204,0.2966749492665787,41.46161654296301,1,2,1,1,1,4,5,3,6
